model_name,learning_rate,epochs,batch_size,seed,validation_split,max_input_length,max_target_length,trial_name,output_dir,status,report_json,report_summary_csv,baseline_mean_toxicity_score,baseline_mean_formality_score,baseline_mean_bert_score_precision,baseline_mean_bert_score_recall,baseline_mean_bert_score_f1,baseline_mean_bart_fluency_score,mean_toxicity_score,mean_formality_score,mean_bert_score_precision,mean_bert_score_recall,mean_bert_score_f1,mean_bart_fluency_score
google/flan-t5-small,5e-05,3,4,42,0.1,128,128,google_flan_t5_small_lr5em05_e3_b4_seed42,models/sweeps/google_flan_t5_small_lr5em05_e3_b4_seed42,evaluated,outputs/evaluations/sweeps/google_flan_t5_small_lr5em05_e3_b4_seed42.json,outputs/evaluations/sweeps/google_flan_t5_small_lr5em05_e3_b4_seed42_summary.csv,0.08235179624200101,0.37921706488355994,0.7658810632457608,0.746994233848527,0.7557813067361713,-6.017576004266739,0.0918634016328724,0.34271707123843953,0.7279995328560471,0.7413443743297831,0.733654226846993,-6.143877249956131
google/flan-t5-small,5e-05,3,4,123,0.1,128,128,google_flan_t5_small_lr5em05_e3_b4_seed123,models/sweeps/google_flan_t5_small_lr5em05_e3_b4_seed123,evaluated,outputs/evaluations/sweeps/google_flan_t5_small_lr5em05_e3_b4_seed123.json,outputs/evaluations/sweeps/google_flan_t5_small_lr5em05_e3_b4_seed123_summary.csv,0.08235179624200101,0.37921706488355994,0.7658810632457608,0.746994233848527,0.7557813067361713,-6.017576004266739,0.09554651760001434,0.36895621254807337,0.7285279899835586,0.7361536947498099,0.7312869003042579,-6.107740094661713
google/flan-t5-small,5e-05,5,4,42,0.1,128,128,google_flan_t5_small_lr5em05_e5_b4_seed42,models/sweeps/google_flan_t5_small_lr5em05_e5_b4_seed42,evaluated,outputs/evaluations/sweeps/google_flan_t5_small_lr5em05_e5_b4_seed42.json,outputs/evaluations/sweeps/google_flan_t5_small_lr5em05_e5_b4_seed42_summary.csv,0.08235179624200101,0.37921706488355994,0.7658810632457608,0.746994233848527,0.7557813067361713,-6.017576004266739,0.09287336628913181,0.34875508917262776,0.7309703409299254,0.7414685252914205,0.7352592353150249,-6.16247817993164
google/flan-t5-small,5e-05,5,4,123,0.1,128,128,google_flan_t5_small_lr5em05_e5_b4_seed123,models/sweeps/google_flan_t5_small_lr5em05_e5_b4_seed123,evaluated,outputs/evaluations/sweeps/google_flan_t5_small_lr5em05_e5_b4_seed123.json,outputs/evaluations/sweeps/google_flan_t5_small_lr5em05_e5_b4_seed123_summary.csv,0.08235179624200101,0.37921706488355994,0.7658810632457608,0.746994233848527,0.7557813067361713,-6.017576004266739,0.08700300864991732,0.3671308595780283,0.7303681124746799,0.7367587762186304,0.7325817834213376,-6.09224736571312
google/flan-t5-small,5e-05,8,4,42,0.1,128,128,google_flan_t5_small_lr5em05_e8_b4_seed42,models/sweeps/google_flan_t5_small_lr5em05_e8_b4_seed42,evaluated,outputs/evaluations/sweeps/google_flan_t5_small_lr5em05_e8_b4_seed42.json,outputs/evaluations/sweeps/google_flan_t5_small_lr5em05_e8_b4_seed42_summary.csv,0.08235179624200101,0.37921706488355994,0.7658810632457608,0.746994233848527,0.7557813067361713,-6.017576004266739,0.08477339110802859,0.36292551428778097,0.7381162868440151,0.7414513339335099,0.7388641887903213,-6.066142536401749
google/flan-t5-small,5e-05,8,4,123,0.1,128,128,google_flan_t5_small_lr5em05_e8_b4_seed123,models/sweeps/google_flan_t5_small_lr5em05_e8_b4_seed123,evaluated,outputs/evaluations/sweeps/google_flan_t5_small_lr5em05_e8_b4_seed123.json,outputs/evaluations/sweeps/google_flan_t5_small_lr5em05_e8_b4_seed123_summary.csv,0.08235179624200101,0.37921706488355994,0.7658810632457608,0.746994233848527,0.7557813067361713,-6.017576004266739,0.08116178489261074,0.35929475384531545,0.7264651903882623,0.7379475311050192,0.7312223643437028,-6.1116048157215115
google/flan-t5-small,3e-05,3,4,42,0.1,128,128,google_flan_t5_small_lr3em05_e3_b4_seed42,models/sweeps/google_flan_t5_small_lr3em05_e3_b4_seed42,evaluated,outputs/evaluations/sweeps/google_flan_t5_small_lr3em05_e3_b4_seed42.json,outputs/evaluations/sweeps/google_flan_t5_small_lr3em05_e3_b4_seed42_summary.csv,0.08235179624200101,0.37921706488355994,0.7658810632457608,0.746994233848527,0.7557813067361713,-6.017576004266739,0.11491801326803397,0.34329227306181564,0.7242150789871812,0.7403186942264438,0.7311293115839362,-6.138553198575973
google/flan-t5-small,3e-05,3,4,123,0.1,128,128,google_flan_t5_small_lr3em05_e3_b4_seed123,models/sweeps/google_flan_t5_small_lr3em05_e3_b4_seed123,evaluated,outputs/evaluations/sweeps/google_flan_t5_small_lr3em05_e3_b4_seed123.json,outputs/evaluations/sweeps/google_flan_t5_small_lr3em05_e3_b4_seed123_summary.csv,0.08235179624200101,0.37921706488355994,0.7658810632457608,0.746994233848527,0.7557813067361713,-6.017576004266739,0.12855589228216557,0.34191182303475215,0.7252741734683513,0.7422941848263145,0.7325977944210171,-6.140898426771164
google/flan-t5-small,3e-05,5,4,42,0.1,128,128,google_flan_t5_small_lr3em05_e5_b4_seed42,models/sweeps/google_flan_t5_small_lr3em05_e5_b4_seed42,evaluated,outputs/evaluations/sweeps/google_flan_t5_small_lr3em05_e5_b4_seed42.json,outputs/evaluations/sweeps/google_flan_t5_small_lr3em05_e5_b4_seed42_summary.csv,0.08235179624200101,0.37921706488355994,0.7658810632457608,0.746994233848527,0.7557813067361713,-6.017576004266739,0.10117678831302328,0.3452097732550465,0.7239640194550157,0.7377963933954015,0.7298259998485446,-6.134385524988175
google/flan-t5-small,3e-05,5,4,123,0.1,128,128,google_flan_t5_small_lr3em05_e5_b4_seed123,models/sweeps/google_flan_t5_small_lr3em05_e5_b4_seed123,evaluated,outputs/evaluations/sweeps/google_flan_t5_small_lr3em05_e5_b4_seed123.json,outputs/evaluations/sweeps/google_flan_t5_small_lr3em05_e5_b4_seed123_summary.csv,0.08235179624200101,0.37921706488355994,0.7658810632457608,0.746994233848527,0.7557813067361713,-6.017576004266739,0.10638348204520298,0.34114412639988584,0.7196897330880165,0.7332331222901121,0.7253508083894848,-6.147144727706909
